"label","vowel_label.1tier","F1.1tier","F2.1tier","participant_id","context","position","dominance","awareness","vowel_label.2tier","F1.2tier","F2.2tier","vowel_label","detailed_context","stimuli_id","mel_F1.1tier","mel_F2.1tier","mel_F1.2tier","mel_F2.2tier"
"P0116-1","v",873.2801213,1502.522808,"P01","em","",53.122,151,NA,873.2801213,1502.522808,NA,"em",16,910.923759595739,1289.35994965785,910.923759595739,1289.35994965785
"P0116-2","v",863.6549962,1434.191457,"P01","em","",53.122,151,NA,863.6549962,1434.191457,NA,"em",16,904.021102797545,1253.91052312035,904.021102797545,1253.91052312035
"P0116-3","v",846.3081156,1421.56641,"P01","em","",53.122,151,NA,846.3081156,1421.56641,NA,"em",16,891.472807610357,1247.23675000649,891.472807610357,1247.23675000649
"P0117-1","v",892.7569342,1660.135237,"P01","em","",53.122,151,NA,892.7569342,1660.135237,NA,"em",17,924.763293006164,1367.10261883967,924.763293006164,1367.10261883967
"P0117-2","v",820.8699809,1688.407334,"P01","em","",53.122,151,NA,820.8699809,1688.407334,NA,"em",17,872.814583832413,1380.49682222289,872.814583832413,1380.49682222289
"P0117-3","v",928.6068325,1671.713102,"P01","em","",53.122,151,NA,928.6068325,1671.713102,NA,"em",17,949.800170228816,1372.60705199964,949.800170228816,1372.60705199964
"P0118-1","v",921.4707126,1645.298396,"P01","em","",53.122,151,NA,921.4707126,1645.298396,NA,"em",18,944.860668017391,1360.00917229099,944.860668017391,1360.00917229099
"P0118-2","v",940.7289928,1886.268289,"P01","em","",53.122,151,NA,940.7289928,1886.268289,NA,"em",18,958.141524187121,1470.02063517873,958.141524187121,1470.02063517873
"P0118-3","v",879.2962772,1826.608323,"P01","em","",53.122,151,NA,879.2962772,1826.608323,NA,"em",18,915.21683048839,1443.76929546409,915.21683048839,1443.76929546409
"P0119-1","v",957.9452079,1761.937753,"P01","em","",53.122,151,NA,957.9452079,1761.937753,NA,"em",19,969.882826509684,1414.6036828568,969.882826509684,1414.6036828568
